"data","count"
"9-","1338700"
"0:","1331775"
"Wi","1331313"
"N ","1330800"
"ru","1330695"
"i ","1330417"
" h","1318318"
"ak","1317899"
"ff","1306512"
"ob","1298333"
"6-","1295930"
"Al","1292054"
"aw","1290962"
"Ho","1273218"
"Gr","1272088"
"AR","1269897"
"CO","1265958"
" 4","1264467"
"uc","1263861"
"4-","1259127"
"ef","1257696"
"TE","1248490"
"Cl","1246514"
"ip","1241842"
"sp","1232968"
"bu","1230057"
"AL","1223365"
"og","1218959"
"cl","1217013"
"D ","1212774"
"su","1207540"
"ES","1207536"
"Fi","1207426"
"RA","1199532"
"eo","1195709"
"98","1194195"
"ST","1189255"
"ph","1178467"
"MA","1177561"
"Po","1168731"
"PA","1168286"
"tc","1166942"
"EN","1153516"
"pi","1146786"
"ki","1146056"
"cu","1143356"
" 5","1140661"
"ye","1136835"
"LE","1136715"
"T ","1132890"
"Bo","1130156"
"nk","1127426"
"Li","1127187"
"Sp","1118279"
"AT","1118257"
"40","1110769"
"Ra","1100015"
"Pe","1097211"
"tl","1096194"
"sd","1094207"
"To","1077103"
"1.","1075777"
"LA","1071626"
"t.","1061944"
"cr","1061793"
"wn","1057344"
"ud","1057133"
"Dr","1054002"
"US","1048535"
"b ","1047071"
"by","1046584"
"Le","1045670"
" u","1044149"
"pt","1043975"
"Ar","1042998"
"Di","1041872"
"nu","1041070"
"/3","1036498"
"8-","1035324"
"3.","1033145"
"Ge","1029500"
"Do","1029231"
"fr","1026982"
"9 ","1022557"
"oa","1021547"
"e.","1018657"
"gl","1014480"
":3","1012035"
"ht","1011771"
"ME","1011009"
"7 ","1010375"
"iu","1009407"
"Oc","1007716"
".5","1007152"
"qu","1006175"
"L ","1005296"
"SS","1003935"
"ny","1001368"
"mm","999566"
" Y","994950"
"s.","993760"
"R ","990483"
"hu","990008"
"oi","987847"
"NE","983915"
"nf","983381"
"6 ","980598"
":1","967522"
"Sc","963533"
"ah","962221"
"2.","957286"
"EL","954463"
" g","952037"
"ks","943590"
"t,","943405"
"97","938068"
"up","937723"
"CH","935321"
" y","935046"
") ","934926"
"NT","926974"
"RI","926533"
":2","926201"
":4","919044"
"hr","916621"
"AM","913783"
"ys","910837"
"du","910699"
"33","905440"
"ik","894705"
"He","893673"
"NC","889279"
"8 ","888562"
