,precision,recall,f1-score,support
False,0.6899862825788752,0.9882121807465619,0.8126009693053312,509.0
True,0.999688651341394,0.9884049048278692,0.9940147567204995,19491.0
accuracy,0.9884,0.9884,0.9884,0.9884
macro avg,0.8448374669601346,0.9883085427872156,0.9109586267800783,20000.0
weighted avg,0.9918067260563878,0.9884,0.9901004325810161,20000.0
