,precision,recall,f1-score,support
False,1.0,1.0,1.0,27.0
True,1.0,1.0,1.0,973.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,1000.0
weighted avg,1.0,1.0,1.0,1000.0
